Date,FAA Lead Form Impressions,Search-National Brand,Search-National Generic,Search-GO Brand,Search-GO Generic,Search-Lumino Brand,Search-Lumino Generic,Search-SLGI Brand,Search-SLGI Generic,Search-Other Brand,Search-Other Generic,Social-Brand,Social-GO,Social-Lumino,Social-Sponsorship,Social-Other,Display-Brand,Display-Lumino,Display-GO,Display-Sponsorship,Display-Other,Native-Brand,Native-Lumino,Native-GO,Native-Sponsorship,Native-Other,Video-Brand,Video-Lumino,Video-Sponsorship,Video-Other,DigitalAudio-Brand,DigitalAudio-Lumino,DigitalAudio-Other,TV-Total-Brand-Imps,TV-Total-Lumino-Imps,TV-Total-Spon-Imps,TV-Conv-Brand-Imps,TV-Conv-Lumino-Imps,TV-Spec-Brand-Imps,TV-Spec-Lumino-Imps,TV-Spec-Spon-Imps,TV-Total-Brand-GRPs,TV-Total-Lumino-GRPs,TV-Total-Spon-GRPs,TV-Conv-Brand-GRPs,TV-Conv-Lumino-GRPs,TV-Spec-Brand-GRPs,TV-Spec-Lumino-GRPs,TV-Spec-Spon-GRPs,OOH-Lumino,OOH-Brand,Radio-Brand,Radio-Lumino,Radio-QC,eDirects-SLGI,eDirects-GB
10/22/2018,4456,59754,125031,110,3575,0,125017,0,0,186,14739,0,0,1506607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3309.27,0,0,1303.85,0,2005.42,0,0,9.1,0,0,3.58,0,5.51,0,0,23130336,0,0,0,0,0,0
10/29/2018,4582,57271,104108,100,3752,0,135685,0,0,104,17817,5052667,0,11095943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22099.65,0,0,6028.01,0,16071.63,0,0,60.75,0,0,16.57,0,44.18,0,0,45742058,2203168,0,444.45,0,0,0
11/5/2018,3606,41938,74833,139,3090,0,135940,0,0,0,18849,5378111,0,11778066,0,0,0,0,0,0,0,0,25532,0,0,0,0,400409,0,0,0,0,0,38956.38,0,0,10696.04,0,28260.35,0,0,107.09,0,0,29.4,0,77.69,0,0,48569475,2608168,0,444.32,0,0,0
11/12/2018,4118,38689,60305,108,2033,0,52676,0,0,0,20783,6553877,0,10857230,223378,0,0,0,0,509898,0,0,771722,0,82849,0,2323178,1844735,47214,0,0,0,0,37895.31,0,899.01,7964.62,0,29930.69,0,899.01,104.17,0,2.47,21.89,0,82.28,0,2.47,47643305,2608168,0,444.01,0,0,0
11/19/2018,4863,48682,88334,189,2895,0,73479,0,0,0,20169,5687274,0,11383924,193331,0,0,0,0,565822,0,0,1092830,0,110233,0,2613719,1782976,79822,0,228210,0,0,39706.53,0,597.54,8791.82,0,30914.71,0,597.54,109.15,0,1.64,24.17,0,84.98,0,1.64,49494776,2608168,0,443.22,0,0,0
11/26/2018,6069,68561,114088,176,4188,0,83163,0,0,0,22715,5972308,0,12290351,234718,0,1452122,0,0,682043,0,0,3167243,0,125661,0,2963787,1689058,93210,0,415059,0,0,49046.77,0,509.94,5930.2,0,43116.58,0,509.94,134.83,0,1.4,16.3,0,118.53,0,1.4,46312940,2608168,0,0,0,0,0
12/3/2018,3897,69669,70754,143,3321,0,117923,0,0,0,24334,5843762,0,12578342,217652,0,2523501,0,0,761133,0,0,3734589,0,115376,0,3493551,1354096,107378,0,547006,0,0,42257.88,0,1165.35,3390.68,0,38867.2,0,1165.35,116.17,0,3.2,9.32,0,106.85,0,3.2,8223084,2203168,0,0,0,0,0
12/10/2018,3819,63930,56597,142,2802,0,127952,0,0,0,24241,6321117,0,12050318,209855,0,2954869,0,0,727098,0,0,1421868,0,57605,0,2705479,691943,90872,0,315793,0,0,3922.77,0,669.95,625.12,0,3297.66,0,669.95,10.78,0,1.84,1.72,0,9.07,0,1.84,1578615,2203168,0,0,0,0,0
12/17/2018,3695,73353,83469,117,2610,0,116702,0,0,0,10156,4526795,0,7714816,224655,0,3238078,0,0,773147,0,22211,2006935,0,0,0,1368024,663028,88798,0,129944,0,0,1709.64,0,339.69,544.65,0,1164.99,0,339.69,4.7,0,0.93,1.5,0,3.2,0,0.93,930064,2203168,0,0,0,0,0
12/24/2018,2204,33966,61153,14,1778,0,131468,0,0,0,8807,0,0,457443,354148,0,2653090,0,0,503233,0,35440,1580452,0,0,0,1339957,663753,108972,0,67118,0,0,2286.05,0,275.38,650.53,0,1635.52,0,275.38,6.28,0,0.76,1.79,0,4.5,0,0.76,930064,2203168,0,0,0,0,0
